epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,734.989,1.74461,2.92749,1.71732,0,0,0,0,3.73939,179726,113.806,0.070566,0.00327044,0.00327044
2,1458.67,2.20348,2.57108,2.10432,0.00215,0.37972,0.0019,0.00079,3.44184,4208.13,7.16294,0.0399123,0.00595,0.00595
3,2151.62,2.06226,2.30178,2.04571,0.14986,0.23046,0.05331,0.01984,2.62107,18.5695,3.1326,0.00859849,0.00796956,0.00796956
4,2723.96,1.96185,2.04057,1.96746,0.31641,0.41186,0.29659,0.15806,1.95823,5.15337,2.09005,0.00703,0.00703,0.00703
5,3301.83,1.79148,1.84266,1.81641,0.44477,0.43114,0.4161,0.20982,1.97651,3.05283,1.9718,0.00604,0.00604,0.00604
6,3876.08,1.70689,1.70675,1.72169,0.65378,0.52677,0.56804,0.31623,1.7871,1.75539,1.80859,0.00505,0.00505,0.00505
7,4439.76,1.58262,1.55686,1.6262,0.63182,0.45628,0.49702,0.27121,1.82479,2.13705,1.86632,0.00406,0.00406,0.00406
8,4991.74,1.47698,1.4978,1.54899,0.62495,0.58063,0.63185,0.39906,1.44055,1.55478,1.54981,0.00307,0.00307,0.00307
9,5529,1.42019,1.34275,1.48563,0.81055,0.5925,0.69824,0.43078,1.48234,1.40462,1.52699,0.00208,0.00208,0.00208
10,6038.62,1.36512,1.2676,1.46058,0.79574,0.62586,0.695,0.45655,1.4331,1.34378,1.53576,0.00109,0.00109,0.00109
